case_id,fraud_type,user_id,burst_size,probing_mode,device,n_transactions,auth_failures_before_success,ring_id,source,pretext,transaction_attempted,transaction_completed,credential_shared,target_outcome,amount_multiplier,urgency_level,pretext_category,fallback,label
case_card_testing_000001,card_testing,216,6.0,independent,dev_216_fraud1,,,,,,,,,,,,,,
case_account_takeover_000002,account_takeover,216,,,dev_216_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000003,card_testing,122,6.0,incrementing,dev_122_fraud1,,,,,,,,,,,,,,
case_account_takeover_000004,account_takeover,122,,,dev_122_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000005,card_testing,571,7.0,independent,dev_571_fraud1,,,,,,,,,,,,,,
case_account_takeover_000006,account_takeover,571,,,dev_571_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000007,card_testing,189,7.0,incrementing,dev_189_fraud1,,,,,,,,,,,,,,
case_account_takeover_000008,account_takeover,189,,,dev_189_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000009,card_testing,2069,8.0,incrementing,dev_2069_fraud1,,,,,,,,,,,,,,
case_account_takeover_000010,account_takeover,2069,,,dev_2069_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000011,card_testing,1892,7.0,incrementing,dev_1892_fraud1,,,,,,,,,,,,,,
case_account_takeover_000012,account_takeover,1892,,,dev_1892_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000013,card_testing,590,5.0,independent,dev_590_fraud1,,,,,,,,,,,,,,
case_account_takeover_000014,account_takeover,590,,,dev_590_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000015,card_testing,448,7.0,independent,dev_448_fraud1,,,,,,,,,,,,,,
case_account_takeover_000016,account_takeover,448,,,dev_448_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000017,card_testing,2766,7.0,independent,dev_2766_fraud1,,,,,,,,,,,,,,
case_account_takeover_000018,account_takeover,2766,,,dev_2766_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000019,card_testing,1280,7.0,independent,dev_1280_fraud1,,,,,,,,,,,,,,
case_account_takeover_000020,account_takeover,1280,,,dev_1280_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000021,card_testing,371,6.0,independent,dev_371_fraud1,,,,,,,,,,,,,,
case_account_takeover_000022,account_takeover,371,,,dev_371_fraud2,2.0,,,,,,,,,,,,,
