threshold,val_f1,test_precision,test_recall,test_f1,test_fp,test_fn
0.1,0.0183,0.0048,1.0,0.0096,32499,0
0.15,0.0236,0.0062,1.0,0.0123,25273,0
0.2,0.0297,0.0078,1.0,0.0154,20063,0
0.25,0.0358,0.0095,1.0,0.0187,16447,0
0.3,0.0429,0.0115,1.0,0.0228,13485,0
0.35,0.0528,0.0141,0.9873,0.0278,10835,2
0.4,0.0645,0.0175,0.9809,0.0345,8624,3
0.45,0.0783,0.0212,0.9299,0.0414,6752,11
0.5,0.0926,0.0256,0.8726,0.0497,5222,20
0.55,0.1059,0.0292,0.7707,0.0562,4028,36
0.6,0.1098,0.0339,0.6879,0.0646,3079,49
0.65,0.117,0.0385,0.6178,0.0724,2425,60
0.7,0.1337,0.0444,0.5605,0.0822,1896,69
0.75,0.1438,0.0505,0.5032,0.0918,1485,78
0.8,0.1569,0.0609,0.4586,0.1075,1110,85
0.85,0.1649,0.0675,0.3949,0.1153,856,95
0.9,0.183,0.0778,0.3503,0.1273,652,102
